#group,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
#datatype,string,long,double,double,double,double,long,double,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,double,double,long,double,double,long,double,string,string,dateTime:RFC3339
#default,mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,result,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_value,_field,_measurement,_time
,,0,0.185633,-0.192481,-0.526069,0.13331,0,0.31334,2.637733,0.552374,3.214475,0.158151,0,0.122537,8.582324,5.717555,14.294327,0,0.112576,0.042307,0.013777,0.10868,0,0.19007,1.164959,-2.983309,5.598952,0,0.188742,0.188742,0,0.4,readings,mem,2021-06-25T14:29:56.772278-04:00
,,1,0.471588,-0.569304,-1.312916,0.329591,1,0.377163,3.904533,1.40256,8.026121,0.43429,1,0.286773,20.806619,14.26141,35.652547,1,0.276485,0.121513,0.034779,0.270794,1,0.478121,2.937757,-7.506414,13.983112,1,0.471115,0.471115,0,1,readings,mem,2021-06-25T14:30:06.859563-04:00
,,1,0.394019,-0.669719,-1.313072,0.325355,1,0.572402,5.200369,1.442721,8.007424,0.454188,1,0.354605,22.097095,14.260453,35.539933,1,0.321798,0.108467,0.035391,0.269668,1,0.487391,2.875612,-7.551879,13.954996,1,0.497447,0.497447,0,1,readings,mem,2021-06-25T14:30:16.946150-04:00
,,1,0.462142,-0.454191,-1.313982,0.321436,1,0.393925,4.033128,1.457884,7.987458,0.497137,1,0.318348,21.340615,14.187304,35.434229,1,0.246938,0.101984,0.035864,0.268449,1,0.479911,2.918632,-7.615333,13.93372,1,0.534102,0.534102,0,1,readings,mem,2021-06-25T14:30:27.032636-04:00
,,1,0.504812,-0.564936,-1.309952,0.3165,1,0.544684,5.007061,1.486043,7.950378,0.489516,1,0.644759,27.511925,14.251863,35.361463,1,0.266047,0.116232,0.036231,0.267179,1,0.49344,3.047993,-7.666904,13.908657,1,0.642309,0.642309,0,1,readings,mem,2021-06-25T14:30:37.119423-04:00
,,1,0.497991,-0.43183,-1.30713,0.311697,1,0.554451,5.073092,1.509069,7.931609,0.521706,1,0.724827,29.205859,14.34844,35.446719,1,0.33198,0.120407,0.036762,0.266072,1,0.531858,3.626677,-7.681957,13.87231,1,0.657417,0.657417,0,1,readings,mem,2021-06-25T14:30:47.206209-04:00
,,0,0.236771,-0.166646,-0.52026,0.122339,0,0.182745,1.780237,0.620733,3.1587,0.221233,0,0.098106,8.054371,5.767371,14.151241,0,0.102789,0.042308,0.014998,0.105895,0,0.196237,1.188301,-3.084018,5.531255,0,0.211707,0.211707,0,0.4,readings,mem,2021-06-25T14:30:57.293094-04:00
,,1,0.553209,-0.479274,-1.29684,0.302925,1,0.303693,3.487918,1.57118,7.878953,0.513729,1,0.211182,19.257958,14.346458,35.311505,1,0.292644,0.11837,0.037812,0.263961,1,0.513947,3.265109,-7.719957,13.803325,1,0.47255,0.47255,0,1,readings,mem,2021-06-25T14:31:07.379278-04:00
,,1,0.530902,-0.383555,-1.292561,0.298289,1,0.243718,3.127621,1.607113,7.845902,0.440178,1,0.285666,20.830892,14.265479,35.214636,1,0.317353,0.115862,0.038344,0.262948,1,0.512679,3.251794,-7.742267,13.770443,1,0.444298,0.444298,0,1,readings,mem,2021-06-25T14:31:17.467253-04:00
,,1,0.506131,-0.556207,-1.288066,0.293991,1,0.226995,3.013715,1.602442,7.820332,0.366808,1,0.187679,18.482869,14.171476,35.123605,1,0.331838,0.130627,0.038881,0.26198,1,0.527643,3.482758,-7.753651,13.734651,1,0.360908,0.360908,0,1,readings,mem,2021-06-25T14:31:27.554515-04:00
